shift_id,date,start_time,end_time,requirements
5024,2026-08-09,07:30,15:30,nurses=3;doctors=2;receptionists=1
5092,26/08/2026,14:00,22:00,nurses=2;doctors=0;receptionists=0
5015,2026-08-07,16:00,00:00,nurses=1;doctors=1;receptionists=0
5029,2026-08-10,22:00,06:00,nurses=3;doctors=1;receptionists=0
5032,2026-08-11,22:00,06:00,nurses=1;doctors=2;receptionists=1
5112,2026-08-15,12:00,12:00,doctors=1
5034,11/08/2026,08:00,16:00,nurses=1;doctors=2;receptionists=1
5058,2026-08-18,08:00,16:00,nurses=2;doctors=1;receptionists=0
5089,26/08/2026,07:30,15:30,nurses=3;doctors=0;receptionists=0
5045,15/08/2026,07:30,15:30,nurses=2;doctors=1;receptionists=1
5042,2026-08-14,07:30,15:30,nurses=1;doctors=1;receptionists=0
5108,2026-08-30,16:00,00:00,nurses=2;doctors=0;receptionists=0
5095,2026-08-27,07:30,15:30,nurses=1;doctors=2;receptionists=0
5054,2026-08-17,08:00,16:00,nurses=3;doctors=1;receptionists=1
5044,14/08/2026,09:00,17:00,nurses=1;doctors=1;receptionists=0
5067,2026-08-21,08:00,16:00,nurses=1;doctors=1;receptionists=0
5070,2026-08-21,22:00,06:00,nurses=3;doctors=1;receptionists=1
5060,19/08/2026,09:00,17:00,nurses=1;doctors=2;receptionists=1
5047,2026-08-15,14:00,22:00,nurses=1;doctors=1;receptionists=1
5074,2026-08-22,08:00,16:00,nurses=3;doctors=1;receptionists=0
5084,2026-08-24,22:00,06:00,nurses=3;doctors=2;receptionists=0
5039,2026-08-13,14:00,22:00,nurses=2;doctors=0;receptionists=1
5031,2026-08-11,08:00,16:00,nurses=3;doctors=2;receptionists=0
5088,08-25-2026,16:00,00:00,nurses=1;doctors=2;receptionists=0
5051,2026-08-16,22:00,06:00,nurses=1;doctors=1;receptionists=0
